,Created,Product_ID,Source,Sales_Agent,Location,Delivery_Mode,Status
112,2018-11-11 13:40:00,19.0,14,10,7,2,9
113,2018-11-11 13:35:00,19.0,12,10,1,0,2
114,2018-11-11 13:19:00,18.0,14,10,10,0,2
115,2018-11-11 13:17:00,18.0,14,10,1,0,2
116,2018-11-11 13:10:00,19.0,14,10,10,4,2
117,2018-11-11 13:03:00,18.0,24,10,1,0,2
119,2018-11-11 11:55:00,19.0,24,10,1,2,2
120,2018-11-11 11:55:00,20.0,14,1,3,2,7
121,2018-11-11 11:30:00,18.0,14,10,2,0,2
122,2018-11-11 10:20:00,18.0,24,10,1,0,2
123,2018-11-11 10:08:00,18.0,24,1,10,2,9
124,2018-11-11 09:53:00,5.0,2,10,1,0,2
125,2018-11-11 09:52:00,19.0,2,10,3,0,9
139,2018-11-10 17:55:00,20.0,14,4,1,2,7
140,2018-11-10 16:40:00,18.0,14,10,12,2,9
141,2018-11-10 16:30:00,18.0,2,10,1,0,2
142,2018-11-10 15:10:00,18.0,10,1,1,0,9
143,2018-11-10 15:05:00,19.0,11,5,1,0,2
144,2018-11-10 14:17:00,27.0,14,10,6,2,7
145,2018-11-10 13:47:00,15.0,24,4,3,2,7
146,2018-11-10 13:26:00,18.0,2,1,10,2,7
147,2018-11-10 13:16:00,27.0,24,8,3,2,2
148,2018-11-10 12:57:00,18.0,2,4,2,0,4
149,2018-11-10 12:18:00,18.0,2,10,2,0,2
150,2018-11-10 12:06:00,18.0,2,4,2,0,9
151,2018-11-10 11:40:00,5.0,14,4,1,0,7
152,2018-11-10 11:20:00,15.0,24,8,10,0,7
153,2018-11-10 11:13:00,15.0,2,1,10,4,3
154,2018-11-10 11:11:00,15.0,2,5,10,4,1
155,2018-11-10 11:10:00,15.0,2,10,10,4,4
156,2018-11-10 11:10:00,15.0,2,8,10,4,4
157,2018-11-10 10:52:00,18.0,2,10,1,0,2
158,2018-11-10 10:48:00,15.0,2,4,10,4,7
159,2018-11-10 00:11:00,15.0,24,8,11,4,2
160,2018-11-09 22:15:00,18.0,14,10,1,0,0
161,2018-11-09 18:37:00,11.0,2,8,2,4,2
162,2018-11-09 18:17:00,19.0,14,10,10,3,2
163,2018-11-09 18:00:00,27.0,14,4,1,0,7
164,2018-11-09 16:30:00,19.0,14,4,1,0,9
165,2018-11-09 16:25:00,18.0,14,10,6,2,2
166,2018-11-09 15:17:00,18.0,2,1,2,4,9
167,2018-11-09 14:53:00,18.0,24,10,10,0,2
168,2018-11-09 14:45:00,19.0,24,4,10,0,3
169,2018-11-09 14:39:00,18.0,10,1,2,0,9
170,2018-11-09 14:33:00,15.0,2,10,10,4,4
171,2018-11-09 14:24:00,19.0,2,10,2,4,9
172,2018-11-09 14:17:00,15.0,2,4,10,4,7
173,2018-11-09 14:15:00,15.0,2,5,10,4,3
174,2018-11-09 14:14:00,15.0,2,8,10,4,3
175,2018-11-09 13:35:00,19.0,24,8,10,0,3
176,2018-11-09 13:25:00,18.0,14,5,1,0,7
177,2018-11-09 13:04:00,25.0,4,10,1,0,9
178,2018-11-09 13:01:00,19.0,5,4,2,0,9
179,2018-11-09 12:50:00,9.0,14,10,1,0,2
180,2018-11-09 12:44:00,9.0,14,5,16,2,4
181,2018-11-09 12:42:00,19.0,2,10,1,0,9
182,2018-11-09 12:20:00,18.0,10,1,13,4,4
183,2018-11-09 12:03:00,18.0,2,10,2,0,2
184,2018-11-09 11:21:00,15.0,2,1,10,4,3
185,2018-11-09 11:19:00,27.0,2,5,10,4,1
186,2018-11-09 11:18:00,15.0,2,10,10,4,7
187,2018-11-09 11:17:00,21.0,2,5,2,4,2
188,2018-11-09 11:17:00,15.0,2,8,10,4,4
189,2018-11-09 11:16:00,27.0,2,4,2,4,4
190,2018-11-09 11:15:00,15.0,2,8,10,4,3
191,2018-11-09 10:55:00,9.0,2,4,1,4,9
192,2018-11-09 10:53:00,18.0,2,10,2,4,9
193,2018-11-09 10:50:00,18.0,14,1,10,2,4
194,2018-11-09 10:49:00,9.0,2,4,1,0,2
195,2018-11-09 10:40:00,18.0,24,8,1,0,2
196,2018-11-09 10:34:00,9.0,2,5,1,4,0
197,2018-11-09 10:30:00,3.0,14,8,16,3,2
198,2018-11-09 10:13:00,18.0,2,10,3,0,2
199,2018-11-09 10:11:00,18.0,2,10,1,0,9
200,2018-11-09 10:06:00,15.0,2,10,10,4,3
201,2018-11-09 10:04:00,18.0,2,10,1,4,9
202,2018-11-09 10:04:00,15.0,2,8,10,4,7
203,2018-11-09 10:03:00,15.0,2,1,10,4,7
204,2018-11-09 09:55:00,15.0,24,10,10,4,2
205,2018-11-09 09:05:00,18.0,14,8,13,2,2
206,2018-11-09 06:59:00,5.0,24,4,10,0,7
207,2018-11-08 20:32:00,15.0,24,1,2,0,3
208,2018-11-08 20:11:00,18.0,24,8,1,0,0
209,2018-11-08 19:45:00,18.0,2,10,2,0,2
210,2018-11-08 19:43:00,18.0,2,10,1,0,2
211,2018-11-08 15:37:00,18.0,24,8,9,2,3
212,2018-11-08 14:51:00,19.0,24,5,1,0,4
213,2018-11-08 14:46:00,15.0,24,4,10,0,7
214,2018-11-08 13:27:00,18.0,24,1,2,4,9
215,2018-11-08 13:19:00,19.0,24,1,10,0,4
216,2018-11-08 13:15:00,18.0,24,5,6,0,2
217,2018-11-08 13:08:00,19.0,24,4,10,2,3
218,2018-11-08 12:32:00,18.0,24,5,1,0,2
219,2018-11-08 12:25:00,9.0,24,10,1,0,2
220,2018-11-08 10:07:00,18.0,24,8,1,0,0
221,2018-11-08 10:00:00,18.0,24,10,10,0,4
222,2018-11-08 09:51:00,18.0,24,8,10,4,4
223,2018-11-07 22:26:00,19.0,24,5,10,2,2
224,2018-11-07 15:59:00,2.0,24,8,11,2,2
225,2018-11-07 14:25:00,5.0,2,4,1,0,4
226,2018-11-07 14:22:00,18.0,14,8,2,0,2
227,2018-11-07 12:38:00,15.0,2,8,10,4,3
228,2018-11-07 12:37:00,19.0,2,4,3,4,1
229,2018-11-07 12:36:00,15.0,2,8,10,4,3
230,2018-11-07 12:36:00,15.0,2,4,10,4,3
231,2018-11-07 12:31:00,18.0,14,8,2,0,4
232,2018-11-07 12:28:00,18.0,10,4,1,0,4
233,2018-11-07 12:27:00,20.0,14,8,10,4,2
234,2018-11-07 12:25:00,5.0,14,4,1,0,4
235,2018-11-07 12:22:00,18.0,14,8,1,0,2
236,2018-11-07 12:15:00,18.0,14,4,1,0,0
237,2018-11-07 12:14:00,5.0,10,8,10,2,4
238,2018-11-07 12:14:00,20.0,7,4,1,0,0
239,2018-11-07 11:41:00,18.0,12,4,10,0,1
240,2018-11-07 11:40:00,18.0,12,8,10,0,2
241,2018-11-07 11:38:00,5.0,14,8,1,0,2
242,2018-11-07 11:38:00,18.0,14,4,7,2,3
243,2018-11-07 11:35:00,15.0,14,4,16,2,7
244,2018-11-07 11:34:00,19.0,14,8,9,2,4
245,2018-11-07 11:04:00,19.0,14,4,1,0,9
246,2018-11-07 10:50:00,15.0,2,4,10,4,1
247,2018-11-07 10:50:00,15.0,2,4,10,4,4
248,2018-11-07 10:49:00,15.0,2,4,10,4,7
249,2018-11-07 10:48:00,15.0,2,4,10,4,7
250,2018-11-07 10:28:00,19.0,14,8,2,0,2
251,2018-11-07 10:27:00,9.0,2,8,1,0,2
252,2018-11-07 05:23:00,27.0,24,8,2,2,9
253,2018-11-07 02:07:00,9.0,24,8,3,2,4
254,2018-11-06 19:40:00,19.0,24,4,10,0,2
255,2018-11-06 19:16:00,18.0,24,4,1,0,7
256,2018-11-06 18:36:00,27.0,24,8,2,0,2
257,2018-11-06 08:52:00,18.0,24,8,1,0,2
258,2018-11-06 08:11:00,27.0,24,8,1,0,2
259,2018-11-06 05:27:00,19.0,24,8,10,2,2
260,2018-11-06 04:04:00,5.0,24,4,10,2,7
261,2018-11-06 00:46:00,18.0,24,8,7,2,4
262,2018-11-05 23:32:00,18.0,0,10,1,0,9
263,2018-11-05 20:14:00,5.0,24,8,10,4,4
264,2018-11-05 18:26:00,25.0,14,8,1,0,2
265,2018-11-05 17:59:00,18.0,2,10,9,0,4
266,2018-11-05 17:53:00,5.0,14,8,10,2,2
267,2018-11-05 17:11:00,5.0,14,4,1,0,4
268,2018-11-05 17:07:00,19.0,14,5,10,2,7
269,2018-11-05 17:04:00,9.0,14,10,1,0,2
270,2018-11-05 17:01:00,19.0,14,8,0,2,2
271,2018-11-05 17:01:00,15.0,24,8,10,4,4
272,2018-11-05 16:42:00,1.0,24,4,1,0,1
273,2018-11-05 15:46:00,19.0,2,10,9,0,4
274,2018-11-05 15:42:00,19.0,2,4,1,0,4
275,2018-11-05 15:41:00,1.0,14,10,2,2,7
276,2018-11-05 15:08:00,15.0,2,4,10,4,3
277,2018-11-05 15:06:00,19.0,2,5,10,4,4
278,2018-11-05 14:59:00,15.0,2,8,10,4,3
279,2018-11-05 14:54:00,15.0,2,10,10,4,3
280,2018-11-05 14:54:00,15.0,2,4,10,4,3
281,2018-11-05 14:52:00,15.0,2,5,10,4,1
282,2018-11-05 14:52:00,15.0,2,4,10,4,3
283,2018-11-05 14:51:00,15.0,2,8,10,4,3
284,2018-11-05 14:34:00,10.0,24,5,10,3,2
285,2018-11-05 14:12:00,19.0,2,8,10,0,1
286,2018-11-05 14:07:00,12.0,24,8,1,3,2
287,2018-11-05 12:35:00,19.0,14,8,9,0,2
288,2018-11-05 12:06:00,15.0,2,9,10,4,8
289,2018-11-05 11:45:00,19.0,2,10,1,0,0
290,2018-11-05 11:29:00,15.0,2,4,10,4,7
291,2018-11-05 11:29:00,15.0,2,8,10,4,7
292,2018-11-05 11:28:00,15.0,2,5,10,4,4
293,2018-11-05 11:17:00,18.0,2,4,9,0,4
294,2018-11-05 10:58:00,19.0,14,4,1,0,9
295,2018-11-05 10:55:00,18.0,14,5,10,2,2
296,2018-11-05 10:21:00,18.0,14,5,14,2,2
297,2018-11-05 10:20:00,27.0,14,5,1,0,4
298,2018-11-05 10:11:00,19.0,24,8,11,2,2
299,2018-11-05 10:09:00,5.0,2,10,10,4,7
300,2018-11-05 09:58:00,12.0,14,8,10,3,5
301,2018-11-04 21:53:00,27.0,24,5,10,4,4
302,2018-11-04 16:47:00,9.0,24,10,2,0,9
303,2018-11-04 15:31:00,9.0,2,5,6,0,9
304,2018-11-04 05:13:00,18.0,24,10,10,0,7
305,2018-11-04 02:05:00,27.0,24,4,10,4,7
306,2018-11-03 20:11:00,5.0,24,8,10,4,4
307,2018-11-03 18:41:00,9.0,2,4,2,0,9
308,2018-11-03 18:07:00,15.0,2,5,10,4,9
309,2018-11-03 16:58:00,18.0,14,5,1,0,9
310,2018-11-03 16:00:00,18.0,24,5,9,4,4
311,2018-11-03 15:23:00,18.0,2,5,1,0,9
312,2018-11-03 14:48:00,18.0,24,4,6,2,1
313,2018-11-03 13:51:00,27.0,24,10,10,2,2
314,2018-11-03 13:28:00,19.0,14,1,14,2,9
315,2018-11-03 13:07:00,19.0,14,10,1,0,2
316,2018-11-03 13:04:00,18.0,14,1,9,2,9
317,2018-11-03 11:43:00,19.0,2,4,10,4,3
318,2018-11-03 11:42:00,15.0,2,4,10,4,7
319,2018-11-03 11:40:00,15.0,2,8,10,4,3
320,2018-11-03 10:11:00,19.0,24,4,10,1,0
321,2018-11-03 09:52:00,9.0,2,10,2,0,2
322,2018-11-03 07:27:00,19.0,24,5,13,2,9
323,2018-11-03 02:05:00,27.0,24,10,1,0,2
324,2018-11-02 19:21:00,2.0,24,8,3,2,2
325,2018-11-02 18:52:00,19.0,14,5,0,2,7
326,2018-11-02 17:57:00,19.0,2,10,3,0,2
327,2018-11-02 15:58:00,19.0,24,4,1,0,0
328,2018-11-02 15:52:00,18.0,2,10,2,0,2
329,2018-11-02 15:45:00,5.0,14,9,16,2,8
330,2018-11-02 15:40:00,15.0,2,1,10,4,3
331,2018-11-02 15:40:00,18.0,2,5,10,4,3
332,2018-11-02 15:38:00,18.0,2,4,1,0,9
333,2018-11-02 15:23:00,15.0,2,8,10,4,3
334,2018-11-02 15:19:00,27.0,2,4,10,4,1
335,2018-11-02 15:18:00,15.0,14,9,6,4,3
336,2018-11-02 15:10:00,15.0,2,10,10,4,4
337,2018-11-02 15:09:00,15.0,2,1,10,4,4
338,2018-11-02 15:09:00,15.0,2,8,10,4,3
339,2018-11-02 15:08:00,15.0,2,4,10,4,7
340,2018-11-02 15:08:00,15.0,2,10,10,4,3
341,2018-11-02 15:08:00,5.0,2,1,9,4,4
342,2018-11-02 14:40:00,18.0,24,1,1,0,6
343,2018-11-02 14:39:00,27.0,2,8,10,4,1
344,2018-11-02 14:38:00,15.0,2,5,10,4,4
345,2018-11-02 14:34:00,15.0,2,4,10,4,7
346,2018-11-02 14:33:00,15.0,2,5,10,4,7
347,2018-11-02 14:32:00,15.0,2,1,10,4,3
348,2018-11-02 14:31:00,27.0,2,1,2,4,9
349,2018-11-02 14:31:00,15.0,2,1,10,4,3
350,2018-11-02 14:30:00,19.0,2,1,1,4,3
351,2018-11-02 13:06:00,9.0,16,10,14,2,0
352,2018-11-02 12:55:00,9.0,2,10,1,0,2
353,2018-11-02 12:46:00,9.0,2,10,1,0,2
354,2018-11-02 12:45:00,18.0,24,10,2,0,2
355,2018-11-02 12:39:00,9.0,14,4,10,2,7
356,2018-11-02 12:38:00,19.0,14,5,6,2,7
357,2018-11-02 12:37:00,9.0,14,1,6,2,4
358,2018-11-02 12:36:00,18.0,13,10,6,2,2
359,2018-11-02 12:36:00,18.0,2,5,2,0,9
360,2018-11-02 12:35:00,19.0,14,1,0,2,4
361,2018-11-02 12:32:00,12.0,14,5,10,3,7
362,2018-11-02 12:31:00,9.0,14,4,6,2,1
363,2018-11-02 12:27:00,20.0,14,8,1,0,3
364,2018-11-02 12:26:00,18.0,14,8,10,2,2
365,2018-11-02 12:16:00,18.0,2,9,10,2,8
366,2018-11-02 12:12:00,19.0,14,10,1,0,2
367,2018-11-02 12:11:00,18.0,24,8,10,0,2
368,2018-11-02 12:10:00,18.0,14,1,10,0,4
369,2018-11-02 11:38:00,18.0,2,8,1,0,9
370,2018-11-02 11:38:00,18.0,2,5,1,0,0
371,2018-11-02 10:41:00,18.0,2,10,1,0,5
372,2018-11-02 10:05:00,18.0,2,8,10,4,0
373,2018-11-02 09:21:00,27.0,24,8,3,4,3
374,2018-11-02 00:45:00,27.0,24,1,10,4,7
375,2018-11-02 00:10:00,27.0,24,4,10,0,7
376,2018-11-01 20:07:00,19.0,24,4,7,4,3
377,2018-11-01 14:28:00,27.0,24,5,10,4,2
378,2018-11-01 12:57:00,15.0,24,4,10,4,7
379,2018-11-01 08:33:00,3.0,24,4,10,4,1
380,2018-11-01 07:11:00,15.0,24,4,10,4,7
381,2018-11-01 07:05:00,18.0,24,5,3,0,4
382,2018-11-01 00:47:00,12.0,24,10,1,4,2
383,2018-10-31 20:46:00,18.0,24,8,1,0,2
384,2018-10-31 19:04:00,27.0,24,8,9,2,2
385,2018-10-31 18:02:00,18.0,2,8,2,0,4
386,2018-10-31 18:02:00,5.0,14,10,10,0,7
387,2018-10-31 17:52:00,27.0,14,1,1,2,9
388,2018-10-31 17:46:00,20.0,14,1,1,0,9
389,2018-10-31 17:42:00,27.0,14,10,0,2,2
390,2018-10-31 16:50:00,9.0,24,8,3,2,2
391,2018-10-31 16:22:00,19.0,14,8,1,0,9
392,2018-10-31 15:59:00,18.0,24,5,0,2,0
393,2018-10-31 15:45:00,5.0,2,10,2,0,2
394,2018-10-31 15:40:00,25.0,14,10,10,2,2
395,2018-10-31 15:38:00,18.0,14,5,2,0,9
396,2018-10-31 15:25:00,27.0,14,8,1,0,9
397,2018-10-31 14:47:00,9.0,14,5,1,0,2
398,2018-10-31 14:12:00,18.0,14,4,14,2,3
399,2018-10-31 14:11:00,18.0,14,10,2,0,0
400,2018-10-31 14:10:00,18.0,14,5,1,0,7
401,2018-10-31 14:08:00,18.0,14,1,10,2,9
402,2018-10-31 14:04:00,19.0,24,1,3,4,2
403,2018-10-31 12:57:00,18.0,14,10,16,2,2
404,2018-10-31 12:24:00,27.0,14,1,11,2,7
405,2018-10-31 12:19:00,19.0,24,4,1,0,0
406,2018-10-31 12:14:00,5.0,14,8,15,2,2
407,2018-10-31 12:13:00,18.0,2,10,1,0,9
408,2018-10-31 12:05:00,18.0,2,5,1,0,9
409,2018-10-31 11:32:00,15.0,2,5,10,4,4
410,2018-10-31 11:29:00,18.0,14,4,10,2,7
411,2018-10-31 11:28:00,9.0,2,10,6,4,2
412,2018-10-31 11:28:00,15.0,2,5,10,4,4
413,2018-10-31 11:24:00,15.0,2,1,10,4,4
414,2018-10-31 11:23:00,15.0,2,4,10,4,4
415,2018-10-31 11:21:00,18.0,2,10,1,0,0
416,2018-10-31 11:17:00,15.0,2,4,10,4,4
417,2018-10-31 11:16:00,15.0,2,5,10,4,4
418,2018-10-31 11:15:00,15.0,2,4,10,4,3
419,2018-10-31 11:15:00,15.0,2,1,10,4,3
420,2018-10-31 11:14:00,15.0,2,1,10,4,3
421,2018-10-31 11:13:00,25.0,14,5,1,0,9
422,2018-10-31 11:06:00,18.0,2,10,9,4,4
423,2018-10-31 10:43:00,1.0,12,4,11,2,4
424,2018-10-31 10:32:00,9.0,2,10,1,0,2
425,2018-10-31 10:28:00,19.0,14,1,0,3,3
426,2018-10-31 10:16:00,25.0,14,10,1,0,9
427,2018-10-31 10:14:00,2.0,14,8,6,2,1
428,2018-10-30 18:30:00,19.0,14,10,3,2,4
429,2018-10-30 18:01:00,5.0,14,4,2,2,4
430,2018-10-30 16:53:00,9.0,2,1,1,4,3
431,2018-10-30 16:06:00,19.0,2,5,3,0,1
432,2018-10-30 15:32:00,27.0,24,8,2,2,9
433,2018-10-30 15:27:00,20.0,14,1,1,0,0
434,2018-10-30 15:26:00,9.0,14,5,6,2,2
435,2018-10-30 14:44:00,27.0,14,10,16,2,2
436,2018-10-30 13:51:00,5.0,14,5,10,2,7
437,2018-10-30 13:50:00,27.0,14,8,2,2,7
438,2018-10-30 13:48:00,9.0,14,4,10,2,4
439,2018-10-30 13:47:00,18.0,14,5,9,2,9
440,2018-10-30 13:45:00,5.0,14,10,10,2,7
441,2018-10-30 12:54:00,9.0,2,5,1,0,0
442,2018-10-30 12:28:00,19.0,7,4,1,3,9
443,2018-10-30 12:11:00,9.0,14,4,6,2,4
444,2018-10-30 12:11:00,19.0,14,5,0,3,7
445,2018-10-30 12:10:00,18.0,10,8,1,0,4
446,2018-10-30 12:01:00,27.0,2,10,2,0,9
447,2018-10-30 11:38:00,18.0,24,10,10,0,9
448,2018-10-30 11:13:00,20.0,14,1,1,0,3
449,2018-10-30 11:10:00,15.0,2,1,10,4,3
450,2018-10-30 11:10:00,9.0,2,8,6,3,2
451,2018-10-30 11:09:00,9.0,2,5,1,0,0
452,2018-10-30 11:09:00,27.0,2,4,10,4,9
453,2018-10-30 11:06:00,9.0,2,5,9,4,9
454,2018-10-30 11:06:00,1.0,2,1,10,4,7
455,2018-10-30 11:05:00,15.0,2,8,10,4,3
456,2018-10-30 10:47:00,18.0,14,1,3,2,4
457,2018-10-30 10:09:00,15.0,2,10,10,4,7
458,2018-10-30 10:09:00,15.0,2,4,10,4,1
459,2018-10-30 10:08:00,15.0,2,5,10,4,7
460,2018-10-30 10:08:00,15.0,2,4,10,4,3
461,2018-10-30 10:05:00,9.0,2,1,3,4,4
462,2018-10-30 10:04:00,9.0,2,8,1,4,2
463,2018-10-30 09:49:00,19.0,14,8,1,0,7
464,2018-10-30 01:58:00,9.0,24,4,10,4,0
465,2018-10-29 23:12:00,9.0,24,5,1,0,2
466,2018-10-29 20:38:00,27.0,24,4,6,2,7
467,2018-10-29 19:15:00,9.0,24,10,6,2,4
468,2018-10-29 17:54:00,19.0,24,10,10,4,3
469,2018-10-29 17:41:00,2.0,14,4,1,0,4
470,2018-10-29 16:20:00,19.0,24,1,9,0,6
471,2018-10-29 16:19:00,9.0,14,10,1,2,2
472,2018-10-29 16:17:00,9.0,14,4,3,2,4
473,2018-10-29 14:40:00,9.0,14,4,3,0,1
474,2018-10-29 14:24:00,9.0,14,6,6,0,7
475,2018-10-29 14:23:00,18.0,14,1,1,0,0
476,2018-10-29 14:19:00,27.0,14,4,1,0,7
477,2018-10-29 14:18:00,15.0,24,5,10,4,3
478,2018-10-29 13:24:00,18.0,14,1,2,0,9
479,2018-10-29 13:23:00,27.0,10,10,3,2,2
480,2018-10-29 13:22:00,9.0,14,5,10,2,9
481,2018-10-29 13:15:00,27.0,24,10,10,0,7
482,2018-10-29 12:52:00,19.0,2,5,2,0,2
483,2018-10-29 12:35:00,15.0,2,5,10,4,3
484,2018-10-29 11:57:00,18.0,14,6,1,0,9
485,2018-10-29 11:49:00,15.0,2,4,10,4,3
486,2018-10-29 11:47:00,15.0,2,1,10,4,7
487,2018-10-29 11:42:00,15.0,2,5,10,4,4
488,2018-10-29 11:41:00,19.0,2,10,1,0,9
489,2018-10-29 11:30:00,27.0,2,1,1,4,9
490,2018-10-29 11:19:00,15.0,2,5,10,4,7
491,2018-10-29 11:19:00,18.0,2,1,1,4,6
492,2018-10-29 11:19:00,15.0,2,4,10,4,4
493,2018-10-29 11:18:00,27.0,2,4,1,0,9
494,2018-10-29 11:18:00,15.0,2,10,10,4,3
495,2018-10-29 11:11:00,9.0,14,4,9,2,1
496,2018-10-29 11:10:00,27.0,2,5,6,4,2
497,2018-10-29 11:09:00,27.0,2,1,1,4,6
498,2018-10-29 11:08:00,15.0,2,4,10,4,1
499,2018-10-29 11:06:00,15.0,2,10,10,4,7
500,2018-10-29 11:05:00,15.0,2,5,10,4,1
501,2018-10-29 11:04:00,15.0,2,1,10,4,3
502,2018-10-29 10:30:00,5.0,14,1,0,2,4
503,2018-10-29 10:28:00,27.0,14,5,6,2,7
504,2018-10-29 10:27:00,19.0,14,1,12,2,9
505,2018-10-29 10:24:00,18.0,14,8,16,2,7
506,2018-10-29 10:21:00,19.0,14,8,1,0,7
507,2018-10-29 10:20:00,18.0,14,8,14,2,4
508,2018-10-29 10:19:00,27.0,14,8,2,2,4
509,2018-10-29 10:18:00,27.0,24,10,10,0,4
510,2018-10-29 10:18:00,18.0,14,9,1,0,8
511,2018-10-29 10:17:00,19.0,14,8,15,2,0
512,2018-10-29 10:16:00,27.0,14,8,1,0,2
513,2018-10-29 10:13:00,18.0,14,8,1,0,2
514,2018-10-29 10:12:00,19.0,14,10,6,2,7
515,2018-10-29 08:47:00,18.0,24,1,10,0,3
